frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
95,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
96,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
97,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
98,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
99,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
100,0,1.6885281801223755,-0.9066219925880432,-0.12532782554626465,0.1471865475177765,-1.3191626684978242,1.0326608384287368,-0.21106601309718062,155,417,,,,,-1,-1,-1,-1,,,,,,,,,
100,1,1.7588834762573242,-0.9595319032669067,-0.12532782554626465,0.1471865475177765,-1.4290928095512498,1.0015119661697454,-0.21986042472162795,169,408,,,,,-1,-1,-1,-1,,,,,,,,,
101,0,1.6885281801223755,-1.0112245082855225,-0.09388787299394608,0.0,-1.4246956012600258,0.8923626633248016,-0.15829951333336745,161,391,,,,,-1,-1,-1,-1,,,,,,,,,
101,1,1.7588834762573242,-1.0167832374572754,-0.12532782554626465,0.0,-1.484057948065088,0.918098297284727,-0.21986042472162795,176,387,,,,,-1,-1,-1,-1,,,,,,,,,
101,2,1.6885281801223755,-1.0112245082855225,-0.09388787299394608,0.1471865475177765,-1.4246956012600258,0.8923626633248016,-0.15829951333336745,178,419,,,,,-1,-1,-1,-1,,,,,,,,,
101,3,1.7588834762573242,-0.9595319032669067,-0.12532782554626465,0.1471865475177765,-1.4290928095512498,1.0015119661697454,-0.21986042472162795,196,412,,,,,-1,-1,-1,-1,,,,,,,,,
101,4,1.7588834762573242,-0.9595319032669067,-0.12532782554626465,0.294373095035553,-1.4290928095512498,1.0015119661697454,-0.21986042472162795,154,420,,,,,-1,-1,-1,-1,,,,,,,,,
102,0,1.8292388916015625,-1.0073188543319702,-0.06254076212644577,0.0,-1.5434203394966095,0.9751398959236277,-0.11432743132748303,172,392,,,,,-1,-1,-1,-1,,,,,,,,,
102,1,1.7588834762573242,-1.065435767173767,0.0,0.1471865475177765,-1.5390229997139453,0.8515158773637391,0.0,172,408,,,,,-1,-1,-1,-1,,,,,,,,,
102,2,1.8292388916015625,-1.0073188543319702,-0.06254076212644577,0.1471865475177765,-1.5434203394966095,0.9751398959236277,-0.11432743132748303,203,407,,,,,-1,-1,-1,-1,,,,,,,,,
102,3,1.8995941877365112,-1.0112245082855225,-0.09388787299394608,0.1471865475177765,-1.602782538844675,1.0039079883653543,-0.17808695110305453,163,416,,,,,-1,-1,-1,-1,,,,,,,,,
102,4,1.8292388916015625,-1.0112245082855225,-0.09388787299394608,0.294373095035553,-1.54342025984407,0.9667262343519638,-0.17149114223844905,167,417,,,,,-1,-1,-1,-1,,,,,,,,,
103,0,1.6885281801223755,-1.0167832374572754,-0.12532782554626465,0.0,-1.4246956663523065,0.8813743877941991,-0.21106601309718062,164,408,,,,,-1,-1,-1,-1,,,,,,,,,
103,1,1.7588834762573242,-1.0112245082855225,-0.09388787299394608,0.0,-1.4840578802606308,0.9295444173381922,-0.16489532219797293,193,399,,,,,-1,-1,-1,-1,,,,,,,,,
103,2,1.8292388916015625,-1.0734899044036865,-0.09388787299394608,0.0,-1.600584026524636,0.8688132622811695,-0.17149114223844905,165,395,,,,,-1,-1,-1,-1,,,,,,,,,
103,3,1.6885281801223755,-1.0167832374572754,-0.12532782554626465,0.1471865475177765,-1.4246956663523065,0.8813743877941991,-0.21106601309718062,191,427,,,,,-1,-1,-1,-1,,,,,,,,,
103,4,1.7588834762573242,-1.0167832374572754,-0.12532782554626465,0.1471865475177765,-1.484057948065088,0.918098297284727,-0.21986042472162795,213,422,,,,,-1,-1,-1,-1,,,,,,,,,
103,5,1.8292388916015625,-1.0167832374572754,-0.12532782554626465,0.1471865475177765,-1.5434203303607084,0.9548222689998692,-0.2286548512472358,184,420,,,,,-1,-1,-1,-1,,,,,,,,,
103,6,1.6885281801223755,-0.9595319032669067,-0.12532782554626465,0.294373095035553,-1.3719291320379168,0.9614515119590432,-0.21106601309718062,154,433,,,,,-1,-1,-1,-1,,,,,,,,,
103,7,1.7588834762573242,-0.9595319032669067,-0.12532782554626465,0.294373095035553,-1.4290928095512498,1.0015119661697454,-0.21986042472162795,177,423,,,,,-1,-1,-1,-1,,,,,,,,,
103,8,1.8292388916015625,-0.9659748077392578,-0.15689286589622498,0.294373095035553,-1.4862566031694073,1.0273577655929733,-0.28581856755442103,152,421,,,,,-1,-1,-1,-1,,,,,,,,,
104,0,1.7588834762573242,-1.0167832374572754,-0.12532782554626465,0.0,-1.484057948065088,0.918098297284727,-0.21986042472162795,187,381,0.9949748516082764,0.9259283542633057,-0.3641860783100128,0.0,5,0,-1,-1,,,,,,,,,
104,1,1.8292388916015625,-0.9659748077392578,-0.15689286589622498,0.0,-1.4862566031694073,1.0273577655929733,-0.28581856755442103,165,381,,,,,-1,-1,-1,-1,,,,,,,,,
104,2,1.6885281801223755,-0.9595319032669067,-0.12532782554626465,0.1471865475177765,-1.3719291320379168,0.9614515119590432,-0.21106601309718062,194,412,,,,,-1,-1,-1,-1,,,,,,,,,
104,3,1.7588834762573242,-0.9595319032669067,-0.12532782554626465,0.1471865475177765,-1.4290928095512498,1.0015119661697454,-0.21986042472162795,222,411,,,,,-1,-1,-1,-1,,,,,,,,,
