Likelihood,MaxL
0.09021375250910427,0.09052247267380278
0.10211999769246485,0.10290878091221277
0.10641335404542579,0.1093040839470478
0.10885208104884059,0.11288745254653854
0.11170144955740263,0.11500537621988496
0.11198685676880564,0.11620956867044945
0.11088337440580256,0.11682328843232632
0.1111003408136685,0.11695191740030893
0.11177848499152201,0.11671754021429495
0.1028149627863588,0.11625229206043872
0.09862205261818013,0.11582039487203223
0.10485148148726581,0.11563148582243257
0.09959374056290668,0.11567161130339539
0.1071417190373457,0.11596507190091021
0.10777803443853747,0.11641050925583123
0.10760643209671933,0.11695894014049077
0.10644650872211645,0.11754396975555921
0.09826685363975639,0.11814250482332422
0.10870802959615859,0.11874205063832642
0.1110093196014437,0.11932293390264906
0.11007418461285795,0.1198755125621753
0.10903333096191997,0.12041517274233533
0.11361945572887631,0.12092639128319153
0.11377582203133726,0.12140841357052731
0.11350439832430297,0.12187284702821616
0.11405105350821364,0.12228180718078145
0.11130966314418773,0.12264170705770047
0.10094321265033773,0.12295593663114034
0.1134042746321692,0.12321685897239969
0.11516527288159754,0.12345626009683633
0.11614952370511554,0.12367283372100131
0.11163571089898655,0.12386998206901673
0.11321437489831807,0.1240651277127127
0.11303528495261916,0.12424525503176732
0.11467913379587913,0.12442108174179176
0.11193406241095602,0.12459660929915398
0.11339475821246263,0.1247837238437639
0.11738505865264522,0.12498276463888383
0.11638707031298054,0.12519247671333314
0.11557581794566203,0.12540929998806544
0.11797653300305729,0.12563679098782293
0.11898911959149815,0.1258737843258139
0.05917240523966272,0.1261159446885141
0.1162951730069286,0.12638988657131692
0.11175998296772424,0.12667888292080393
0.1120887396202381,0.1269771785065062
0.1172721405502043,0.12727925502219947
0.11771385691538185,0.12757822687524747
0.10216979738723463,0.12786927143047416
0.11644797776866521,0.1281549435419928
0.11580477021170227,0.12843182592422084
0.11769474201634172,0.12869700126786152
0.11531770120235217,0.12894731450998229
0.11380460703065273,0.1291811789292663
0.10890809449194044,0.12939692095095612
0.10939689856142934,0.12959221074432242
0.11295121764484436,0.12976470675561033
0.11121133810695592,0.12991235821729474
0.1088383836723376,0.13003389677669738
0.11078095096159456,0.1301282173924139
0.11054690336743428,0.13019483882546135
0.10364026055617147,0.13023358092202125
0.11084511771648839,0.1302476258342396
0.10973533966795197,0.1302392120978715
0.10520547885938758,0.13021261678550503
0.10624755866828463,0.13017142846488422
0.10586259251612981,0.1301203147438394
0.1145443976042984,0.13006215584087413
0.10535456026931578,0.1300033063348798
0.11806932198838856,0.129947321343373
0.1102560111609186,0.12989747791203196
0.10282404520819302,0.12985309890369137
0.10943137049921055,0.12981554843871657
0.11176977386612398,0.12978327118842756
0.10977103848740943,0.12975907926703437
0.11035415214597731,0.12974161218291
0.11166146278243415,0.12973079448502442
0.10857151906916869,0.1297246941839199
0.11271123368823728,0.12972127378055429
